kegg	drugbank
D06880	DB00001
D03455	DB00002
D00742	DB00005
D03136	DB00006
D08113	DB00007
D02837	DB00009
D00573	DB00014
D00249	DB00017
D06889	DB00019
D02934	DB00026
D04369	DB00027
D03230	DB00030
D06070	DB00031
D00291	DB00035
D00172	DB00036
D00116	DB00040
D02735	DB00042
D04477	DB00046
D03250	DB00047
D07665	DB00050
D02597	DB00051
D02810	DB00053
D02778	DB00054
D00101	DB00067
D00746	DB00068
D03257	DB00072
D05092	DB00075
D01080	DB00080
D00783	DB00083
D05349	DB00085
D00184	DB00091
D03235	DB00099
D00442	DB00104
D02738	DB00106
D00089	DB00107
D03639	DB00111
D00006	DB00114
D00166	DB00115
D00032	DB00117
D00021	DB00120
D00029	DB00121
D07690	DB00122
D02304	DB00123
D02982	DB00125
D00018	DB00126
D00013	DB00128
D00015	DB00130
D02769	DB00131
D00016	DB00133
D00019	DB00134
D00022	DB00135
D00129	DB00136
D03636	DB00138
D00050	DB00140
D00007	DB00142
D00014	DB00143
D00011	DB00145
D00030	DB00149
D00020	DB00150
D00026	DB00151
D08580	DB00152
D00187	DB00153
D07706	DB00155
D00041	DB00156
D00070	DB00158
D08061	DB00159
D00012	DB00160
D00039	DB00161
D00069	DB00162
D00086	DB00166
D00065	DB00167
D02381	DB00168
D00188	DB00169
D02335	DB00170
D08646	DB00171
D00035	DB00172
D00034	DB00173
D08410	DB00175
D00400	DB00177
D00421	DB00178
D04862	DB00179
D00241	DB00181
D07445	DB00182
D01631	DB00183
D03365	DB00184
D00661	DB00185
D00365	DB00186
D07916	DB00187
D03150	DB00188
D00704	DB00189
D00558	DB00190
D05458	DB00191
D08623	DB00193
D00406	DB00194
D00322	DB00196
D00395	DB00197
D00900	DB00198
D00140	DB00199
D01027	DB00200
D00528	DB00201
D08514	DB00203
D00647	DB00204
D00488	DB00205
D00197	DB00206
D08594	DB00208
D01103	DB00209
D01112	DB00210
D08220	DB00211
D05353	DB00213
D00382	DB00214
D07704	DB00215
D07887	DB00216
D01603	DB00217
D08237	DB00218
D08259	DB00220
D04625	DB00221
D00593	DB00222
D07827	DB00223
D08029	DB00226
D00359	DB00227
D00543	DB00228
D07648	DB00229
D02716	DB00230
D00370	DB00231
D00656	DB00232
D00162	DB00233
D00417	DB00235
D00467	DB00236
D03180	DB00237
D00435	DB00238
D08313	DB00239
D07116	DB00240
D03182	DB00241
D01370	DB00242
D00377	DB00244
D07511	DB00245
D08687	DB00246
D02357	DB00247
D00987	DB00248
D00342	DB00249
D00592	DB00250
D00888	DB00251
D00512	DB00252
D02289	DB00253
D07876	DB00254
D00577	DB00255
D06884	DB00256
D00282	DB00257
D00931	DB00258
D08543	DB00259
D07455	DB00261
D00254	DB00262
D00450	DB00263
D02358	DB00264
D01381	DB00265
D03798	DB00266
D01739	DB00267
D08489	DB00268
D00269	DB00269
D00349	DB00270
D01013	DB00271
D00537	DB00273
D00910	DB00274
D01204	DB00275
D02321	DB00276
D00371	DB00277
D00303	DB00280
D00358	DB00281
D07281	DB00282
D03535	DB00283
D00216	DB00284
D08670	DB00285
D04070	DB00286
D01964	DB00287
D01387	DB00288
D07473	DB00289
D00266	DB00291
D00548	DB00292
D01064	DB00293
D08233	DB00295
D07775	DB00298
D05407	DB00299
D04196	DB00301
D01136	DB00302
D07908	DB00303
D02367	DB00304
D00208	DB00305
D06887	DB00306
D03106	DB00307
D00648	DB00308
D01769	DB00309
D00272	DB00310
D02441	DB00311
D00499	DB00312
D00399	DB00313
D00135	DB00314
D00415	DB00315
D00217	DB00316
D01977	DB00317
D03580	DB00318
D00466	DB00319
D07448	DB00321
D04197	DB00322
D00786	DB00323
D01367	DB00324
D00934	DB00326
D00141	DB00328
D07925	DB00330
D04966	DB00331
D08195	DB00333
D00454	DB00334
D00235	DB00335
D00862	DB00336
D00455	DB00338
D00144	DB00339
D01871	DB00340
D00521	DB00342
D07845	DB00343
D08447	DB00344
D06890	DB00345
D07124	DB00346
D00392	DB00347
D01253	DB00349
D00418	DB00350
D00952	DB00351
D08603	DB00352
D00680	DB00353
D07547	DB00354
D00240	DB00355
D00771	DB00356
D00574	DB00357
D04895	DB00358
D00587	DB00359
D08505	DB00360
D08680	DB00361
D03211	DB00362
D00283	DB00363
D02327	DB00366
D00950	DB00367
D00076	DB00368
D00563	DB00370
D00376	DB00371
D02354	DB00372
D08638	DB00376
D07175	DB00377
D01217	DB00378
D03730	DB00380
D07450	DB00381
D08555	DB00382
D08325	DB00383
D00386	DB00384
D08425	DB00387
D08365	DB00388
D07616	DB00389
D00298	DB00390
D01226	DB00391
D01118	DB00392
D00438	DB00393
D07495	DB00394
D00768	DB00395
D00066	DB00396
D08524	DB00398
D01968	DB00399
D00209	DB00400
D00618	DB00401
D03442	DB00403
D00225	DB00404
D01046	DB00406
D02980	DB00407
D02340	DB00408
D01076	DB00410
D00524	DB00411
D00596	DB00412
D00559	DB00413
D00219	DB00414
D00204	DB00415
D00761	DB00416
D05411	DB00417
D00430	DB00418
D05032	DB00419
D08430	DB00420
D00443	DB00421
D04999	DB00422
D00402	DB00423
