drugbank_id,drugname,drug_type,target,approved,experimental,illicit,investigational,nutraceutical,withdrawn
DB00001,Lepirudin,biotech,['BE0000048'],1,0,0,0,0,0
DB00002,Cetuximab,biotech,"['BE0000767', 'BE0000901', 'BE0002094', 'BE0002095', 'BE0002096', 'BE0002097', 'BE0000710', 'BE0002098']",1,0,0,0,0,0
DB00004,Denileukin diftitox,biotech,"['BE0000658', 'BE0000651', 'BE0002102']",1,0,0,1,0,0
DB00005,Etanercept,biotech,"['BE0000704', 'BE0000710', 'BE0002098', 'BE0002099', 'BE0002100', 'BE0002097', 'BE0000901', 'BE0001087', 'BE0009995']",1,0,0,1,0,0
DB00006,Bivalirudin,small molecule,['BE0000048'],1,0,0,1,0,0
DB00007,Leuprolide,small molecule,['BE0000203'],1,0,0,1,0,0
DB00008,Peginterferon alfa-2a,biotech,"['BE0000385', 'BE0000661']",1,0,0,1,0,0
DB00009,Alteplase,biotech,"['BE0000211', 'BE0000538', 'BE0000717', 'BE0000240']",1,0,0,0,0,0
DB00010,Sermorelin,biotech,['BE0000625'],1,0,0,0,0,1
DB00011,Interferon alfa-n1,biotech,"['BE0000385', 'BE0000661']",1,0,0,1,0,0
DB00012,Darbepoetin alfa,biotech,['BE0000654'],1,0,0,1,0,0
DB00013,Urokinase,biotech,"['BE0000211', 'BE0000717', 'BE0000240', 'BE0000969', 'BE0002112', 'BE0000942', 'BE0001656', 'BE0002113']",1,0,0,1,0,1
DB00014,Goserelin,small molecule,"['BE0000134', 'BE0000203']",1,0,0,0,0,0
DB00015,Reteplase,biotech,"['BE0000211', 'BE0000538', 'BE0000240']",1,0,0,1,0,0
DB00016,Erythropoietin,biotech,['BE0000654'],1,0,0,0,0,0
DB00017,Salmon calcitonin,biotech,['BE0000431'],1,0,0,1,0,0
DB00018,Interferon alfa-n3,biotech,"['BE0000661', 'BE0000385']",1,0,0,1,0,0
DB00019,Pegfilgrastim,biotech,['BE0000793'],1,0,0,0,0,0
DB00020,Sargramostim,biotech,"['BE0000628', 'BE0001036', 'BE0002115', 'BE0002116', 'BE0002114']",1,0,0,1,0,0
DB00022,Peginterferon alfa-2b,biotech,"['BE0000661', 'BE0000385']",1,0,0,0,0,0
DB00024,Thyrotropin alfa,biotech,['BE0000490'],1,0,0,0,0,0
DB00025,"Antihemophilic factor, human recombinant",biotech,"['BE0000216', 'BE0000364', 'BE0001043', 'BE0002117', 'BE0002118', 'BE0001098', 'BE0002109', 'BE0001011', 'BE0002119', 'BE0002110', 'BE0002120']",1,0,0,1,0,0
DB00026,Anakinra,biotech,['BE0000565'],1,0,0,0,0,0
DB00027,Gramicidin D,small molecule,[],1,0,0,0,0,0
